key,Ngày,idx,Nơi thực hiện,Vị trí quan trắc,Ký hiệu,ts
kehoach|96,13,96,Xuân Thới Sơn,Triều Xuống,HCM_NM_XTS_X,2026-05-02T16:11:14
kehoach|97,13,97,Cầu Lớn,Triều Xuống,HCM_NM_CLo_X,2026-05-02T16:11:22
kehoach|97,13,97,Cầu Lớn,Triều Xuống,HCM_NM_CLo_X,2026-05-02T16:11:31
kehoach|97,13,97,Cầu Lớn,Triều Xuống,HCM_NM_CLo_X,2026-05-02T16:11:39
kehoach|98,13,98,An Hạ,Triều Xuống,HCM_NM_AH_X,2026-05-02T16:11:48
kehoach|98,13,98,An Hạ,Triều Xuống,HCM_NM_AH_X,2026-05-02T16:11:57
kehoach|98,13,98,An Hạ,Triều Xuống,HCM_NM_AH_X,2026-05-02T16:12:05
kehoach|99,13,99,Rau Răm,Triều Xuống,HCM_NM_RR_X,2026-05-02T16:12:14
kehoach|99,13,99,Rau Răm,Triều Xuống,HCM_NM_RR_X,2026-05-02T16:12:23
kehoach|99,13,99,Rau Răm,Triều Xuống,HCM_NM_RR_X,2026-05-02T16:12:32
kehoach|100,14,100,Cống Vàm Thuật,Triều Lên,HCM_NM_VT_L,2026-05-02T16:12:44
kehoach|100,14,100,Cống Vàm Thuật,Triều Lên,HCM_NM_VT_L,2026-05-02T16:12:53
kehoach|100,14,100,Cống Vàm Thuật,Triều Lên,HCM_NM_VT_L,2026-05-02T16:13:02
kehoach|101,14,101,An Lộc,Triều Lên,HCM_NM_AL_L,2026-05-02T16:13:11
kehoach|101,14,101,An Lộc,Triều Lên,HCM_NM_AL_L,2026-05-02T16:13:20
kehoach|101,14,101,An Lộc,Triều Lên,HCM_NM_AL_L,2026-05-02T16:13:29
kehoach|102,14,102,Bến Cát,Triều Lên,HCM_NM_BCa_L,2026-05-02T16:13:38
kehoach|102,14,102,Bến Cát,Triều Lên,HCM_NM_BCa_L,2026-05-02T16:13:47
kehoach|102,14,102,Bến Cát,Triều Lên,HCM_NM_BCa_L,2026-05-02T16:13:55
kehoach|103,14,103,Trường Đai,Triều Lên,HCM_NM_TĐ_L,2026-05-02T16:14:04
kehoach|103,14,103,Trường Đai,Triều Lên,HCM_NM_TĐ_L,2026-05-02T16:14:14
kehoach|103,14,103,Trường Đai,Triều Lên,HCM_NM_TĐ_L,2026-05-02T16:14:22
